case,worked_region_id,tier,item_type,item_id,source_id,source_or_file,item_text,source_excerpt_or_support,map_context,review_question,falsification_prompt,allowed_decisions,reviewer_decision,confidence,required_revision,reviewer_notes
LHC black holes,lhc_cosmic_ray_argument,1,claim,lhc_c001,lsag_2008_safety_review,examples/lhc_black_holes/worked_region_cosmic_ray_map.md,"The LSAG cosmic-ray argument says LHC-scale dangerous products should already have appeared naturally, and astronomical survival constrains that danger.","""The Universe is replicating the total number of collisions to be made by the LHC... astronomical bodies withstand cosmic-ray bombardment... If some microscopic black holes were produced by the LHC, they would also have been produced by cosmic rays.""",role=core support; span=lines 119-138; entailed_by_excerpt=yes,Does the excerpt/source support this exact claim without making it too strong?,"Mark revise or reject if the claim adds causal force, certainty, scope, or consensus not present in the source.",accept|revise|reject|needs_discussion,pending,,,
LHC black holes,lhc_cosmic_ray_argument,1,claim,lhc_c002,lsag_2008_safety_review,examples/lhc_black_holes/worked_region_cosmic_ray_map.md,Earth has already received many LHC-equivalent or higher-energy cosmic-ray collisions without catastrophic destruction.,"""Over 3x1022 cosmic rays... equal to or greater than the LHC energy, have struck the Earth's surface... and the planet still exists.""",role=exposure evidence; span=lines 175-183; entailed_by_excerpt=yes,Does the excerpt/source support this exact claim without making it too strong?,"Mark revise or reject if the claim adds causal force, certainty, scope, or consensus not present in the source.",accept|revise|reject|needs_discussion,pending,,,
LHC black holes,lhc_cosmic_ray_argument,1,claim,lhc_c003,lsag_2008_safety_review,examples/lhc_black_holes/worked_region_cosmic_ray_map.md,"The cosmic-ray exposure argument extends beyond Earth to the Sun, Milky Way stars, and visible-universe stellar populations.","""Nature has therefore already conducted the LHC experimental programme about one billion times... via the collisions of cosmic rays with the Sun... Cosmic rays have been hitting all these stars.""",role=exposure evidence; span=lines 193-207; entailed_by_excerpt=yes,Does the excerpt/source support this exact claim without making it too strong?,"Mark revise or reject if the claim adds causal force, certainty, scope, or consensus not present in the source.",accept|revise|reject|needs_discussion,pending,,,
LHC black holes,lhc_cosmic_ray_argument,1,claim,lhc_c004,lsag_2008_safety_review,examples/lhc_black_holes/worked_region_cosmic_ray_map.md,The cosmic-ray analogy has a velocity caveat because LHC products may be slower and more trappable than cosmic-ray products.,"""One significant difference... any massive new particles produced by the LHC collisions will tend to have low velocities, whereas cosmic-ray collisions would produce them with high velocities.""",role=caveat; span=lines 292-298; entailed_by_excerpt=yes,Does the excerpt/source support this exact claim without making it too strong?,"Mark revise or reject if the claim adds causal force, certainty, scope, or consensus not present in the source.",accept|revise|reject|needs_discussion,pending,,,
LHC black holes,lhc_cosmic_ray_argument,1,claim,lhc_c005,lsag_2008_safety_review,examples/lhc_black_holes/worked_region_cosmic_ray_map.md,"Hawking radiation is treated as broadly accepted theory, but not directly experimentally detected in this context.","""There is broad consensus among physicists on the reality of Hawking radiation, but so far no experiment has had the sensitivity required to find direct evidence for it.""",role=theory caveat; span=lines 315-327; entailed_by_excerpt=yes,Does the excerpt/source support this exact claim without making it too strong?,"Mark revise or reject if the claim adds causal force, certainty, scope, or consensus not present in the source.",accept|revise|reject|needs_discussion,pending,,,
LHC black holes,lhc_cosmic_ray_argument,1,claim,lhc_c006,lsag_2008_safety_review,examples/lhc_black_holes/worked_region_cosmic_ray_map.md,LSAG offers a decay argument independent of Hawking radiation and says stable microscopic black holes require suppressing basic quantum or relativistic principles.,"""Independently of the reasoning based on Hawking radiation... the expected lifetime would be very short... stable microscopic black hole... would require a violation of some of the basic principles of quantum mechanics... and/or of general relativity.""",role=independent support; span=lines 329-350; entailed_by_excerpt=yes,Does the excerpt/source support this exact claim without making it too strong?,"Mark revise or reject if the claim adds causal force, certainty, scope, or consensus not present in the source.",accept|revise|reject|needs_discussion,pending,,,
LHC black holes,lhc_cosmic_ray_argument,1,claim,lhc_c007,spc_2008_lsag_review,examples/lhc_black_holes/worked_region_cosmic_ray_map.md,The SPC review treats the cosmic-ray comparison as the basis for later safety proofs and endorses the survival-of-astronomical-bodies inference.,"""The results and the considerations given in this section are the basis for the safety proofs... irreconcilable with the fact that the Earth, the Sun and other objects... have persisted.""",role=independent endorsement; span=lines 43-65; entailed_by_excerpt=yes,Does the excerpt/source support this exact claim without making it too strong?,"Mark revise or reject if the claim adds causal force, certainty, scope, or consensus not present in the source.",accept|revise|reject|needs_discussion,pending,,,
LHC black holes,lhc_cosmic_ray_argument,1,claim,lhc_c008,spc_2008_lsag_review,examples/lhc_black_holes/worked_region_cosmic_ray_map.md,"The dangerous stable-black-hole scenario depends on an unlikely assumption stack, including TeV-scale gravity, failed decay mechanisms, and retained neutralization physics.","""A number of increasingly unlikely conditions should be satisfied... fundamental scale of gravity... Hawking radiation... should fail... Schwinger mechanism... should still work... conservative or 'worst-case' scenario.""",role=dependency stack; span=lines 101-128; entailed_by_excerpt=yes,Does the excerpt/source support this exact claim without making it too strong?,"Mark revise or reject if the claim adds causal force, certainty, scope, or consensus not present in the source.",accept|revise|reject|needs_discussion,pending,,,
LHC black holes,lhc_cosmic_ray_argument,1,claim,lhc_c009,spc_2008_lsag_review,examples/lhc_black_holes/worked_region_cosmic_ray_map.md,The SPC review distinguishes stronger white-dwarf bounds for LHC energies from neutron-star arguments that matter for higher energies but depend on cosmic-ray and neutrino assumptions.,"""At the LHC energy... ruled out... by... white dwarf stars... valid for the LHC... future colliders... neutron stars... relies on properties of cosmic rays and neutrinos that... require confirmation.""",role=scope limit; span=lines 130-137; entailed_by_excerpt=yes,Does the excerpt/source support this exact claim without making it too strong?,"Mark revise or reject if the claim adds causal force, certainty, scope, or consensus not present in the source.",accept|revise|reject|needs_discussion,pending,,,
LHC black holes,lhc_cosmic_ray_argument,1,claim,lhc_c010,giddings_mangano_2008_stable_black_holes,examples/lhc_black_holes/worked_region_cosmic_ray_map.md,"GM argue that scenarios dangerous to Earth would disrupt white dwarfs faster than their observed lifetimes, so those scenarios are ruled out.","""Cosmic rays will produce black holes on such astronomical objects... accreting black holes will disrupt such objects... white dwarf ages exceeding 10^9 years... scenarios... are ruled out.""",role=compact-star support; span=lines 2402-2411; entailed_by_excerpt=yes,Does the excerpt/source support this exact claim without making it too strong?,"Mark revise or reject if the claim adds causal force, certainty, scope, or consensus not present in the source.",accept|revise|reject|needs_discussion,pending,,,
LHC black holes,lhc_cosmic_ray_argument,1,claim,lhc_c011,giddings_mangano_2008_stable_black_holes,examples/lhc_black_holes/worked_region_cosmic_ray_map.md,"GM split the compact-star argument by dimensionality, using white dwarfs for lower-dimensional cases and neutron stars as additional evidence for higher-dimensional cases.","""D = 5... contrary to observations... D = 7... contrary to observation... D >= 8... neutron stars... provide therefore additional evidence.""",role=model split; span=lines 2415-2460; entailed_by_excerpt=yes,Does the excerpt/source support this exact claim without making it too strong?,"Mark revise or reject if the claim adds causal force, certainty, scope, or consensus not present in the source.",accept|revise|reject|needs_discussion,pending,,,
LHC black holes,lhc_cosmic_ray_argument,1,claim,lhc_c012,giddings_mangano_2008_stable_black_holes,examples/lhc_black_holes/worked_region_cosmic_ray_map.md,"GM explicitly analyze the trapping difference: highly relativistic cosmic-ray black holes are hard to stop in Earth, while non-relativistic LHC black holes may slow and be captured.","""For a black hole to get trapped... its speed should not exceed the escape velocity... Earth density does not provide enough material to stop a highly relativistic black hole, such as those produced by cosmic rays... some slow-down will typically arise for non-relativistic black holes produced at the LHC.""",role=trapping caveat; span=lines 3600-3641; entailed_by_excerpt=yes,Does the excerpt/source support this exact claim without making it too strong?,"Mark revise or reject if the claim adds causal force, certainty, scope, or consensus not present in the source.",accept|revise|reject|needs_discussion,pending,,,
LHC black holes,lhc_cosmic_ray_argument,1,claim,lhc_c013,plaga_2008_metastable_black_holes,examples/lhc_black_holes/worked_region_cosmic_ray_map.md,Plaga argues that a metastable Eddington-limited scenario might evade GM-style astrophysical exclusions because it starts from different microscopic-black-hole assumptions.,"""A plausible scenario... accrete ambient matter at the Eddington limit... remain undetectable in existing astrophysical observations and thus evade... Giddings & Mangano... different initial assumptions.""",role=challenge; span=lines 18-31; entailed_by_excerpt=yes,Does the excerpt/source support this exact claim without making it too strong?,"Mark revise or reject if the claim adds causal force, certainty, scope, or consensus not present in the source.",accept|revise|reject|needs_discussion,pending,,,
LHC black holes,lhc_cosmic_ray_argument,1,claim,lhc_c014,plaga_2008_metastable_black_holes,examples/lhc_black_holes/worked_region_cosmic_ray_map.md,Plaga's strongest technical challenge is that GM's white-dwarf stopping argument may not cover quantum-gravity-regime black holes with smaller-than-semiclassical scattering cross sections.,"""This exclusion depends on... 'dangerous' mBHs are stopped in white dwarfs... based on an assumed validity of the semiclassical approximation... might have smaller scattering cross section... This would void G & M's exclusion.""",role=challenge; span=lines 439-471; entailed_by_excerpt=yes,Does the excerpt/source support this exact claim without making it too strong?,"Mark revise or reject if the claim adds causal force, certainty, scope, or consensus not present in the source.",accept|revise|reject|needs_discussion,pending,,,
LHC black holes,lhc_cosmic_ray_argument,1,relation,lhc_r003,,examples/lhc_black_holes/worked_region_cosmic_ray_map.md,lhc_c004 --refines--> lhc_c001: The velocity difference specifies when the cosmic-ray analogy needs additional analysis.,"lhc_c004 excerpt: ""One significant difference... any massive new particles produced by the LHC collisions will tend to have low velocities, whereas cosmic-ray collisions would produce them with high velocities."" | lhc_c001 excerpt: ""The Universe is replicating the total number of collisions to be made by the LHC... astronomical bodies withstand cosmic-ray bombardment... If some microscopic black holes were produced by the LHC, they would also have been produced by cosmic rays.""","source_claim=The cosmic-ray analogy has a velocity caveat because LHC products may be slower and more trappable than cosmic-ray products. | target_claim=The LSAG cosmic-ray argument says LHC-scale dangerous products should already have appeared naturally, and astronomical survival constrains that danger.","Is this relation type and rationale fair, or should the edge be weakened, retagged, or removed?","Mark revise or reject if the edge would make a reviewer infer stronger support, challenge, dependency, or crux status than the sources justify.",accept|revise|reject|needs_discussion,pending,,,
